Indicator Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
"Internally displaced persons, total displaced by conflict and violence (number of people)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Merchandise exports to low- and middle-income economies in Middle East & North Africa (% of total merchandise exports),,,,,0.515463918,0.641773629,0.562023284,0.375704446,0.351725654,0.449726951,0.605700713,0.456408346,0.552621884,0.505003563,0.942551381,2.472462628,2.767551592,2.182502165,2.386170534,2.457402801,3.036245721,3.824545732,1.840830894,1.489004182,1.896832802,1.871506812,1.254059025,1.010451121,0.923491543,0.693445398,0.748518976,1.69463009,1.775338951,1.587116622,1.292792171,1.320207396,1.897181534,1.346378018,2.000045168,1.816034131,1.691634456,1.714778291,1.796351731,1.809824445,1.922449703,1.758936894,1.751679567,2.042739343,2.474392927,3.138268828,3.142531443,2.459640533,2.826405285,2.308504967,2.381813298,2.056507212,2.151841565,1.763083736,1.484796918,1.235449187,
Export volume index (2000 = 100),,,,,,,,,,,,,,,,,,,,,7.941886722,9.352993442,9.910578492,11.53720489,13.36736523,14.40862816,16.12148583,20.03383053,22.585691,22.77326337,24.19321349,26.57336214,29.07460379,32.47446645,36.91066813,44.81200479,53.40341093,61.75188806,75.30091512,83.40831384,100,103.6795646,116.7053895,135.5480974,160.7562204,172.4573718,200.5606461,227.5434369,248.7505183,251.0688053,299.9724271,341.2723104,350.8840953,363.7719568,380.7737598,396.5014732,396.0053657,420.9716318,428.5499569,420.643808,424.5749562
Merchandise imports from low- and middle-income economies in East Asia & Pacific (% of total merchandise imports),4.011461318,3.026227303,3.26687485,2.83979282,2.228826152,2.706866197,5.164712451,4.398031931,5.217983651,5.588461117,6.200574221,6.311085122,5.749405234,8.056112224,5.730821938,4.707611577,5.773146071,5.784856281,4.989682736,6.036003886,6.093061624,5.891372092,6.630048412,5.734888799,6.5241169,7.364930131,5.739675737,5.948608701,5.463957725,5.631820023,5.446414613,10.3273307,10.77747707,11.33230675,11.38468754,11.31877729,11.88436104,13.64234107,14.71284648,15.62572552,16.79171859,18.35610713,20.06493528,20.06171995,20.92323716,22.49937341,23.07741552,24.83490593,24.83128928,24.6859708,25.06426044,24.60769876,23.386902,24.16010624,24.97134645,29.04193621,30.5138889,29.79080885,29.55746498,31.22411299,
"Tariff rate, most favored nation, simple mean, primary products (%)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.54,15.71,16.14,,15.16,,,13.6,33.72,32.16,31.6,13.08,30.88,31.67,28.35,29.58,27.97,28.05,28.05,28.3,28.12,27.21,27.96,28.09,30.84,30.89,30.73,33.06,33.06,33.24,33.26,,33.26
"Tariff rate, most favored nation, simple mean, manufactured products (%)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.68,14.82,12.7,,10.81,,,7.76,8.6,8.55,8.89,8.09,8.56,8.41,8.17,7.94,7.49,7.5,7.49,7.48,7.48,7.4,7.43,7.41,7.39,7.38,7.39,7.39,7.38,7.5,7.49,,7.49
"International tourism, number of arrivals",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3753000,3684000,3908000,4250000,4660000,5322000,5147000,5347000,4753000,5818000,6023000,6155000,6448000,6891000,7818000,8798000,9795000,11140000,12176000,14202000,13232000,17242000,13336000,15347000,17503000,2519000
"Population, female (% of total population)",49.65925333,49.62545466,49.61315577,49.61715328,49.63044143,49.64787493,49.66871647,49.69348002,49.72018617,49.74670325,49.77157028,49.79395432,49.81370791,49.83079187,49.84543809,49.85788748,49.86784415,49.87527356,49.88105056,49.88625428,49.89155515,49.89730531,49.90306755,49.90789174,49.91052761,49.91014696,49.90680629,49.90100648,49.89298749,49.88315698,49.87198968,49.85939918,49.84580105,49.83277222,49.82226043,49.81555123,49.81331893,49.81501018,49.81907392,49.8233233,49.82631105,49.82732233,49.82697442,49.82682773,49.82901397,49.83490403,49.84526226,49.85913579,49.87415228,49.88700125,49.89543782,49.89849085,49.89724362,49.89390558,49.89169478,49.89280364,49.8979355,49.90628108,49.91688179,49.92816736,49.93902282
Population ages 65 and above (% of total population),3.366463985,3.393214032,3.429453419,3.463466798,3.478335189,3.468256263,3.479104072,3.465292522,3.442620112,3.43104445,3.438967481,3.500979583,3.570457012,3.641944813,3.709031876,3.769973092,3.84508899,3.921770536,3.996314033,4.062382244,4.117679079,4.199111094,4.261623396,4.318151594,4.387998797,4.481452761,4.610109755,4.767524593,4.938785594,5.098269999,5.233009632,5.40150749,5.536986703,5.659849814,5.801322546,5.978046442,6.162028468,6.383672943,6.636021332,6.905559626,7.186195743,7.511592198,7.848069899,8.189427146,8.529132837,8.863198969,9.222378083,9.57052755,9.921729,10.29266126,10.69331515,11.10133441,11.52864629,11.96329769,12.40276742,12.859361,13.33794019,13.85224776,14.41855583,15.0601769,15.79090637
"Population ages 40-44, male (% of male population)",4.575953234,4.561075135,4.599569955,4.655549721,4.677847748,4.642570167,4.562737004,4.431140646,4.288641618,4.19350087,4.176315398,4.209239649,4.298553237,4.432005977,4.591290825,4.763549991,4.939535531,5.150917998,5.36323005,5.526999515,5.616652192,5.621121086,5.549883254,5.451759443,5.399251265,5.432160207,5.496076681,5.650186382,5.857943894,6.052505235,6.192827157,6.294058684,6.323742226,6.343146435,6.446760646,6.681778398,6.991157149,7.433649107,7.929651411,8.354785935,8.638093925,8.82051678,8.87071522,8.834375945,8.788677216,8.778942503,8.794861416,8.824175271,8.868324355,8.918559451,8.963490889,8.96248635,8.950611919,8.908053564,8.813418856,8.666912432,8.525640255,8.344606214,8.148407178,7.976964191,7.854065561
"Population ages 15-19, male (% of male population)",9.6182987,9.560089953,9.640154309,9.811434119,9.985868231,10.11107784,10.19811148,10.21044799,10.21006122,10.29787441,10.52630375,10.86221166,11.30031546,11.75541968,12.1151092,12.32776534,12.38726874,12.33149633,12.18090241,11.98312998,11.78212239,11.62622863,11.45134331,11.2902393,11.1695557,11.08936714,11.00093377,10.96938646,10.94801438,10.86168144,10.66974625,10.42152459,10.0482295,9.622294812,9.249266042,8.98228238,8.758268397,8.66063887,8.622778546,8.534163766,8.333961876,8.041472807,7.638177196,7.213980328,6.898463824,6.757415536,6.761308526,6.925456874,7.176960616,7.392163048,7.48964788,7.453675317,7.312848062,7.102222072,6.857751697,6.590377045,6.287935147,5.946111068,5.594402893,5.277187739,5.023285023
Women who were first married by age 15 (% of women ages 20-24),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Mortality rate, adult, male (per 1,000 male adults)",402.308,397.727,393.146,387.009,380.872,374.735,368.599,362.462,359.321,356.18,353.039,349.898,346.757,342.293,337.828,333.364,328.899,324.435,318.628,312.822,307.015,301.209,295.402,287.005,278.608,270.211,261.814,253.417,246.689,239.961,233.233,226.505,219.777,212.628,205.479,198.331,191.182,184.033,175.93,167.827,159.723,151.62,143.517,137.783,132.049,126.315,120.582,114.848,111.327,107.806,104.285,100.764,97.242,93.897,90.551,87.205,83.86,80.514,79.266,78.018,
"Unemployment, total (% of total labor force) (modeled ILO estimate)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.410000086,2.50999999,2.880000114,2.480000019,2.059999943,2.049999952,2.609999895,6.960000038,6.340000153,4.059999943,3.700000048,3.049999952,3.349999905,3.420000076,3.480000019,3.25,3.00999999,2.960000038,3.359999895,3.319999933,2.99000001,2.809999943,2.75,3.079999924,3.549999952,3.650000095,3.650000095,3.819999933,3.75,3.930000067
"Unemployment with advanced education, male (% of male labor force with advanced education)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.309999943,3.029999971,3.75,3.289999962,1.669999957,1.730000019,1.870000005,3.900000095,3.569999933,3.819999933,3.789999962,3.400000095,3.970000029,3.74000001,3.619999886,3.619999886,3.630000114,3.309999943,3.730000019,3.650000095,3.25,2.960000038,3.24000001,3.400000095,3.809999943,4.010000229,4.239999771,3.920000076,3.720000029,3.599999905
"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.02000046,60.59999847,60.88999939,60.88999939,61.59999847,61.93999863,62.11000061,62.5,60.61999893,60.59999847,61.56999969,61.88000107,62.45000076,61.88999939,62.68999863,62.54999924,62.52000046,62.43999863,61.97000122,61.27999878,61.36000061,61.52999878,61.70999908,61.90000153,62.90999985,63.16999817,63.20000076,63.47999954,63.36000061,63.56999969,62.81000137
"Labor force participation rate, female (% of female population ages 15-64) (modeled ILO estimate)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.74,49.77,49.66,49.8,50.65,51.35,52.07,53.15,50.51,51,52.15,52.83,53.5,53,54.32,54.66,55.01,54.94,54.73,53.85,54.42,54.84,55.2,55.57,56.99,58.06,58.52,59.2,59.54,60.11,
"Children in employment, study and work, male (% of male children in employment, ages 7-14)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Child employment in manufacturing, male (% of male economically active children ages 7-14)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Vulnerable employment, male (% of male employment) (modeled ILO estimate)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.00000024,24.80000091,25.4800005,24.48000062,24.1099999,23.82999921,24.18000019,26.57000089,26.86999989,26.18999982,26.24000072,25.70999908,25.12000048,24.33999979,24.05000055,23.49000072,23.23000073,23.19999981,22.23000002,21.54999912,21.19000077,21.32999921,20.91999924,20.2699995,19.37999916,19.58999991,19.45999908,18.94000047,19.15999931,
"Employment to population ratio, ages 15-24, total (%) (national estimate)",,,,,,,,,,,,,,,,,,,,,39.91999817,38.25999832,38.16999817,36.18999863,33.18000031,31.98999977,32.25999832,32.74000168,31.52000046,31.97999954,32.52000046,34.56000137,34.54999924,33.59000015,34.5,34.61000061,33.72999954,32.18999863,27.11000061,27.63999939,27.94000053,29.03000069,30.11000061,29.48999977,29.79999924,28.32999992,26.10000038,24.19000053,22.01000023,20.94000053,21.21999931,21.79000092,22.61000061,22.75,24.30999947,25.35000038,25.38999939,25.27000046,24.53000069,24.85000038,23.55999947
Average transaction cost of sending remittances to a specific country (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,,0.2,,0.5,,0.2,,0.2,,0.2,,,,
Domestic general government health expenditure per capita (current US$),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,238.6714513,284.3554971,307.4161163,360.8013784,406.8444741,505.6209583,628.173226,720.8962311,659.274549,654.3896873,810.641688,885.8062698,902.8572202,983.789155,1088.675127,1100.674725,1169.908839,1307.409009,1486.904996,1562.345033,
Proportion of population pushed below the $3.20 ($ 2011 PPP) poverty line by out-of-pocket health care expenditure (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Prevalence of wasting, weight for height, female (% of children under 5)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
"Prevalence of overweight, weight for height (% of children under 5)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.2,,,,,,7.3,,,,,,,,,,,
"People with basic handwashing facilities including soap and water, rural (% of rural population)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Risk of catastrophic expenditure for surgical care (% of people at risk),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,0.5,0.6,0.5,0.4,0.4,0.3,0.3,0.3,0.3,0.2,0.3,0.3,0.2,0.2
"Immunization, measles (% of children ages 12-23 months)",,,,,,,,,,,,,,,,,,,,,4,5,5,33,61,89,89,82,70,95,93,93,93,92,92,93,89,85,85,90,95,96,97,96,99,99,99,92,92,93,98,99,99,99,99,98,98,97,98,98,
"People using safely managed drinking water services, urban (% of urban population)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Probability of dying among adolescents ages 15-19 years (per 1,000)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.8,3.8,3.8,3.8,3.8,3.8,3.7,3.4,3.1,2.7,2.4,2.1,1.9,1.8,1.7,1.6,1.6,1.6,1.6,1.5,1.5,1.4,1.3,1.2,1.2,1.1,1.1,1.1,1.1,1.1,1.1
Prevalence of anemia among children (% of children ages 6-59 months),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.7,14.6,14.5,14.5,14.4,14.3,14.2,14.1,13.9,13.8,13.8,13.8,13.8,13.9,13.9,14.1,14.2,14.4,14.7,15,
"Women making their own informed decisions regarding sexual relations, contraceptive use and reproductive health care  (% of women age 15-49)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"School enrollment, tertiary, female (% gross)",,,,,,,,,,,,3.432219982,3.595249891,3.82269001,4.029429913,4.227560043,4.348090172,4.400730133,4.555419922,4.987090111,5.825550079,,9.963549614,12.66641045,15.97169971,19.6698494,20.37100029,21.03759956,21.37672997,21.88541031,23.11764908,24.4459095,26.43913078,31.25511932,31.80036926,34.86862183,38.88209915,53.56848907,47.89231873,52.2965889,56.10293961,58.9221611,61.5338707,63.65264893,66.83379364,70.94460297,76.55594635,82.08670807,85.41397095,86.80551147,86.81078339,85.59628296,83.19101715,82.11578369,81.89217377,81.9552536,82.19882202,82.84249878,84.94790649,88.1593399,
"Adolescents out of school, male (% of male lower secondary school age)",,,,,,,,,,,,38.59365845,33.32926941,28.40327072,22.65858078,22.20681,18.10096931,17.59943962,19.87948036,15.69812965,13.79730034,12.49520969,,,11.24901009,10.11038971,8.687649727,,,12.56684971,,6.3542099,8.466320038,,,,,6.637469769,7.968229771,6.941239834,,,,3.650369883,4.108670235,3.713920116,2.708909988,1.625100017,2.327009916,,,,,,,,3.672420025,5.559589863,2.726599932,4.800310135,
"Progression to secondary school, female (%)",,,,,,,,,,,,58.56582,58.86915,,,67.49127,71.39108,78.50548,86.35386,91.63086,,95.98272,95.79526,97.34334,97.98188,98.5204,98.77613,98.68974,,,,,,,99.22676,,,99.76554,99.78867,99.65371,99.30916,99.28177,99.45682,98.22203,98.68869,98.62376,98.49254,99.93443,99.98423,,100,,99.6269,99.56331,99.50979,99.49422,99.50415,,,,
"Secondary education, pupils",,,,,,,,,,,,1906918,2168559,2397804,2648254,2879948,3111510,3322010,3492091,3692809,3997316,4285889,4335025,4435000,4685353,4828026,4934975,5028026,4895354,4824097,4697277,4559557,4443751,4461857,4580040,4645849,4706541,4567366,4367683,4176780,3958702,3768040,3661759,3645617,3702150,3795981,3864005,3928039,3958781,3994713,3959451,3877799,3793127,3720130,3579411,3396766,3231795,3072037,2893979,2726376,
"Children out of school, male (% of male primary school age)",,,,,,,,,,,,2.374550104,1.119840026,1.937809944,2.440160036,2.461649895,1.719709992,2.800679922,2.622560024,1.117959976,,,,,1.049999952,1.691079974,1.982300043,0.741479993,,,,,,,,,,,,,1.368139982,2.028939962,2.17689991,1.236479998,1.243690014,,,,,0.406340003,,,2.300139904,4.699550152,4.174170017,1.480110049,2.727780104,2.377789974,0.903760016,,
"Persistence to last grade of primary, total (% of cohort)",,,,,,,,,,,,95.17044067,91.85733032,92.83554077,94.41448212,94.0297699,92.4400177,95.11891937,95.93041229,97.20156097,,93.7293396,96.80518341,96.66873932,98.9240036,99.3139801,99.01846313,99.31900024,99.22763824,99.47473145,99.66468048,99.26586914,99.52870941,99.70461273,99.14334869,,92.40651703,96.10060883,99.24530029,99.21781158,98.81973267,98.24598694,99.24488068,97.27323151,98.49282074,98.61521149,97.35923767,98.36811829,98.82566833,99.28266144,99.03759003,99.22676086,99.55937195,99.35250092,99.46037292,99.39524078,99.4764328,99.25525665,99.33450317,,
"Gross intake ratio in first grade of primary education, total (% of relevant age group)",,,,,,,,,,,,112.97622,108.85992,105.22857,107.40589,104.93255,110.78852,106.25829,107.46482,112.8909,108.84643,105.56111,104.43606,99.62744,94.69064,100.2019,100.10497,111.58592,110.50302,111.45824,108.24112,101.09253,93.48666,98.98719,101.16766,103.91721,104.29166,103.32732,107.42263,103.27738,98.46242,97.1794,99.25239,99.62917,102.67356,102.20483,103.24284,109.29007,101.58317,93.84743,99.88719,99.41269,93.30312,96.87336,105.96248,100.39982,95.90965,100.94304,,,
Primary school starting age (years),,,,,,,,,,,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
"Literacy rate, adult female (% of females ages 15 and above)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.61865997,,,,,,,,,,,,
Coverage of social safety net programs in 3rd quintile (% of population),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adequacy of social protection and labor programs (% of total welfare of beneficiary households),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gross savings (% of GDP),,,,,,,,,,,,,,,,,25.54352993,28.55010452,31.5866505,30.65700892,25.10306301,24.51807813,26.42050944,30.08424819,32.09501306,32.04072762,35.4220436,39.17007749,41.4173594,38.71988655,39.02619049,39.03767304,38.13350402,38.19792199,37.89659889,37.68264008,35.96581108,35.91391951,37.72344885,35.37572185,33.89358132,31.937638,31.4544004,32.98186486,35.46226035,33.76562363,32.89055346,33.45347261,33.32190514,33.28145476,35.04466783,34.67129671,34.66391462,34.84912557,34.987043,36.34860305,36.78533622,37.01428256,35.85497824,34.78038233,36.13079246
GNI: linked series (current LCU),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.00355E+14,2.42235E+14,2.77173E+14,3.1476E+14,3.71555E+14,4.35385E+14,4.89129E+14,5.39091E+14,5.30262E+14,5.84929E+14,6.47274E+14,7.02236E+14,7.81829E+14,8.34443E+14,9.06865E+14,9.50685E+14,1.00E+15,1.09E+15,1.15E+15,1.20E+15,1.32E+15,1.40E+15,1.46E+15,1.51E+15,1.57E+15,1.66E+15,1.75E+15,1.84E+15,1.91E+15,1.94E+15,1.95E+15
GDP per capita (current US$),158.2493033,93.82864905,106.1485057,146.3143419,123.6034948,108.7221312,133.4748485,161.159931,198.431298,243.4224129,279.3049689,301.1765677,324.1962768,406.8988301,563.3559578,617.4560619,834.134208,1055.880041,1405.822374,1783.622313,1715.42946,1883.451279,1992.528225,2198.934472,2413.263925,2482.399956,2834.903848,3554.595206,4748.629608,5817.029181,6610.036508,7636.982429,8126.67039,8884.928319,10385.33617,12564.77813,13403.04959,12398.48003,8281.699982,10672.41793,12256.99357,11561.24837,13165.06574,14672.85747,16496.12009,19402.50263,21743.47745,24086.41044,21350.42798,19143.85161,23087.22564,25096.26388,25466.76052,27182.73431,29249.57522,28732.23108,29288.87044,31616.8434,33422.94421,31936.79635,31631.46945
Discrepancy in expenditure estimate of GDP (constant LCU),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100000000,3.272E+11,2.0917E+12,1.3852E+12,7.895E+11,2.748E+12
Adjusted net national income (constant 2015 US$),,,,,,,,,,,,81416449322,87940805429,98021799631,1.01838E+11,1.07358E+11,1.25247E+11,1.39644E+11,1.56472E+11,1.65921E+11,1.55123E+11,1.63927E+11,1.78178E+11,2.02144E+11,2.23962E+11,2.3745E+11,2.68537E+11,3.06188E+11,3.42496E+11,3.70046E+11,4.02058E+11,4.45459E+11,4.69621E+11,5.02242E+11,5.49899E+11,5.8735E+11,6.21708E+11,6.42459E+11,5.86306E+11,6.45974E+11,6.8964E+11,7.16477E+11,7.83835E+11,8.01418E+11,8.37183E+11,8.52935E+11,8.86414E+11,9.41887E+11,9.32983E+11,9.45493E+11,1.02132E+12,1.03345E+12,1.05819E+12,1.09662E+12,1.13038E+12,1.19657E+12,1.24547E+12,1.28997E+12,1.30474E+12,1.28989E+12,
Adjusted savings: carbon dioxide damage (% of GNI),,,,,,,,,,,1.551153339,1.668670452,1.679586604,1.719889456,1.405569598,1.541102768,1.375953986,1.31469584,1.135279611,1.151704525,1.340630684,1.400498669,1.430766522,1.445201619,1.502354492,1.672944333,1.547181401,1.339004258,1.205132927,1.094531555,1.057286908,1.014232069,1.072805079,1.151458338,1.089641076,1.015111459,1.05725533,1.256610934,1.651006934,1.443400682,1.451890814,1.60564325,1.501443613,1.397231767,1.342223806,1.158636729,1.096978514,1.089090838,1.297952627,1.490175125,1.41211178,1.392989679,1.403954646,1.387822113,1.324745655,1.412453861,1.479776441,1.456439971,1.465967795,1.612322896,
Chemicals (% of value added in manufacturing),,,,9.609120521,6.947539522,9.506726457,8.205128205,9.129941272,12.52915695,12.16407355,10.7866399,10.58139535,8.94028689,8.47715736,9.552544106,10.53411926,9.911413217,9.42486019,9.455979103,8.920704846,10.3145821,9.390469063,9.443454571,9.320007651,8.805873286,8.774357632,8.133325224,8.413034904,8.450073736,8.635918602,9.198163193,9.095434916,9.624877632,9.878090359,9.765148827,9.315831394,9.235661478,9.823400778,11.47210764,9.467644087,9.538024035,9.482471086,9.968799782,9.62321016,8.959663955,8.648531137,7.827013673,6.829485189,6.93486832,7.061141842,7.02162746,10.45562044,10.64481745,10.73284988,10.35314068,10.29716603,10.7864581,10.73569544,10.73569577,10.73569577,
"Agriculture, forestry, and fishing, value added (% of GDP)",36.56047387,38.68209089,36.63423167,43.10371427,46.52687649,37.52991977,34.39548998,30.20812716,28.15937149,27.40954326,26.48573268,27.13787086,26.50608056,24.60695095,24.17204301,24.48594408,23.04668067,21.78997318,19.91691347,18.53633847,14.26931587,15.02542793,14.00327476,12.62527523,11.87256096,11.75369938,10.4282338,9.309206904,9.221019667,8.541523675,7.606496334,6.824490651,6.60760508,5.914881371,5.658221058,5.328672039,4.960650984,4.47516964,4.225940698,4.249754418,3.857792038,3.565819021,3.206802038,2.964597278,2.958018544,2.619975731,2.497470419,2.283409085,2.142249743,2.240556812,2.144016322,2.209199955,2.186185041,2.099047114,2.05667705,2.003907793,1.859034883,1.850756295,1.746403394,1.667930979,1.832292167
Imports of goods and services (current LCU),29930000000,42120000000,57060000000,75990000000,91570000000,1.1914E+11,1.9421E+11,2.5851E+11,3.8319E+11,4.9675E+11,5.907E+11,7.912E+11,9.151E+11,1.5285E+12,2.6324E+12,3.3032E+12,4.1029E+12,5.1873E+12,7.3506E+12,1.0009E+13,1.47347E+13,1.84729E+13,1.8825E+13,2.04421E+13,2.23701E+13,2.27246E+13,2.89795E+13,3.43004E+13,3.82716E+13,4.23708E+13,5.16552E+13,6.31627E+13,6.85166E+13,7.32677E+13,9.16153E+13,1.1685E+14,1.36712E+14,1.58143E+14,1.55582E+14,1.60709E+14,2.0954E+14,2.15189E+14,2.24281E+14,2.4934E+14,3.02159E+14,3.16357E+14,3.52217E+14,3.97534E+14,5.52575E+14,4.93569E+14,5.85862E+14,7.25422E+14,7.39703E+14,7.00283E+14,6.68668E+14,5.99257E+14,5.82659E+14,6.64279E+14,7.07562E+14,7.02082E+14,6.33488E+14
